DATE,PERIOD,CATEGORY,ACTIVE_USERS,NUMBER_OF_SWAPS,TXN_PER_USER,VOLUME_USD
2024-03-07 00:00:00.000,0.15% fee,Whale,202,1051,5.20297,286606723.33
2024-03-08 00:00:00.000,0.15% fee,Retail User,159680,553940,3.469063,2609830353.48
2024-03-08 00:00:00.000,0.15% fee,Whale,233,1003,4.304721,311335152.76
2024-03-09 00:00:00.000,0.15% fee,Retail User,162388,470260,2.895904,1580259413.09
2024-03-09 00:00:00.000,0.15% fee,Whale,134,576,4.298507,179707949.83
2024-03-10 00:00:00.000,0.15% fee,Retail User,163335,544304,3.332439,2116410982.01
2024-03-10 00:00:00.000,0.15% fee,Whale,168,859,5.113095,228103652.38
2024-03-11 00:00:00.000,0.15% fee,Retail User,159239,570472,3.582489,2874074254.77
2024-03-11 00:00:00.000,0.15% fee,Whale,257,1184,4.607004,413718105.31
2024-03-12 00:00:00.000,0.15% fee,Retail User,159930,585998,3.664091,3000534831.23
2024-03-12 00:00:00.000,0.15% fee,Whale,251,1130,4.501992,466600902.68
2024-03-13 00:00:00.000,0.15% fee,Retail User,159675,539514,3.378826,2384524439.66
2024-03-13 00:00:00.000,0.15% fee,Whale,245,1369,5.587755,442331858.82
2024-03-14 00:00:00.000,0.15% fee,Retail User,176818,678649,3.838122,3088422178.56
2024-03-14 00:00:00.000,0.15% fee,Whale,247,1177,4.765182,375476441.39
2024-03-15 00:00:00.000,0.15% fee,Retail User,177771,880333,4.952062,4014491566.71
2024-03-15 00:00:00.000,0.15% fee,Whale,280,1348,4.814286,565411706.12
2024-03-16 00:00:00.000,0.15% fee,Retail User,167502,742909,4.435225,2681145836.71
2024-03-16 00:00:00.000,0.15% fee,Whale,214,975,4.556075,266041924.72
2024-03-17 00:00:00.000,0.15% fee,Retail User,160404,647990,4.039737,2227428271.66
2024-03-17 00:00:00.000,0.15% fee,Whale,168,820,4.880952,192613948.99
2024-03-18 00:00:00.000,0.15% fee,Retail User,160991,717375,4.455994,2385019180.33
2024-03-18 00:00:00.000,0.15% fee,Whale,240,1099,4.579167,313409001.13
2024-03-19 00:00:00.000,0.15% fee,Retail User,161285,1011682,6.272635,3676256770.6
2024-03-19 00:00:00.000,0.15% fee,Whale,297,1424,4.794613,375903714.71
2024-03-20 00:00:00.000,0.15% fee,Retail User,170523,1024655,6.008896,4192941600.27
2024-03-20 00:00:00.000,0.15% fee,Whale,287,1410,4.912892,381252546.28
2024-03-21 00:00:00.000,0.15% fee,Retail User,164239,802201,4.884351,2771391344.68
2024-03-21 00:00:00.000,0.15% fee,Whale,229,1164,5.082969,324920126.57
2024-03-22 00:00:00.000,0.15% fee,Retail User,163557,822071,5.026205,2762210983.26
2024-03-22 00:00:00.000,0.15% fee,Whale,196,1066,5.438776,325253055.71
2024-03-23 00:00:00.000,0.15% fee,Retail User,157653,634624,4.025448,1635903708.11
2024-03-23 00:00:00.000,0.15% fee,Whale,156,789,5.057692,181965124.31
2024-03-24 00:00:00.000,0.15% fee,Retail User,165637,665024,4.014948,1570149803.54
2024-03-24 00:00:00.000,0.15% fee,Whale,145,860,5.931034,175357135.24
2024-03-25 00:00:00.000,0.15% fee,Retail User,191267,747968,3.910596,2359079006.25
2024-03-25 00:00:00.000,0.15% fee,Whale,236,1219,5.165254,324267144.72
2024-03-26 00:00:00.000,0.15% fee,Retail User,196301,731925,3.728585,2207605513.36
