DATE,CHAIN,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-06-15 00:00:00.000,Arbitrum,no fee,189331867.75,87145,28907,562
2023-06-15 00:00:00.000,BSC,no fee,11070119.24,21563,12578,173
2023-06-15 00:00:00.000,Ethereum,no fee,927228729.07,157912,46069,4757
2023-06-15 00:00:00.000,Optimism,no fee,3617989.61,38593,11408,230
2023-06-15 00:00:00.000,Polygon,no fee,58449646.45,89724,21665,855
2023-06-16 00:00:00.000,Arbitrum,no fee,152635756.32,86136,34312,548
2023-06-16 00:00:00.000,BSC,no fee,5086905.95,19197,11785,152
2023-06-16 00:00:00.000,Ethereum,no fee,616656549.04,172061,47573,4694
2023-06-16 00:00:00.000,Optimism,no fee,3817910.35,36798,12521,233
2023-06-16 00:00:00.000,Polygon,no fee,48339728.23,80536,21899,865
2023-06-17 00:00:00.000,Arbitrum,no fee,128196941.67,68151,26487,547
2023-06-17 00:00:00.000,BSC,no fee,4984659.41,17486,10875,158
2023-06-17 00:00:00.000,Ethereum,no fee,407501309.17,168316,44803,4738
2023-06-17 00:00:00.000,Optimism,no fee,2329226.49,34286,12839,219
2023-06-17 00:00:00.000,Polygon,no fee,41443745.39,75706,19527,765
2023-06-18 00:00:00.000,Arbitrum,no fee,98812456.15,67381,26062,528
2023-06-18 00:00:00.000,BSC,no fee,3248133.88,15202,9986,149
2023-06-18 00:00:00.000,Ethereum,no fee,275336198.38,145569,38644,4530
2023-06-18 00:00:00.000,Optimism,no fee,2326395.52,32972,12033,227
2023-06-18 00:00:00.000,Polygon,no fee,28566332.27,62643,20203,716
2023-06-19 00:00:00.000,Arbitrum,no fee,133227220.36,72490,29262,534
2023-06-19 00:00:00.000,BSC,no fee,2561755.79,15627,9654,161
2023-06-19 00:00:00.000,Ethereum,no fee,542874788.6,152899,43865,4644
2023-06-19 00:00:00.000,Optimism,no fee,2427057.69,34621,12452,229
2023-06-19 00:00:00.000,Polygon,no fee,41287292.4,70415,20880,734
2023-06-20 00:00:00.000,Arbitrum,no fee,206800862.97,96938,30628,550
2023-06-20 00:00:00.000,BSC,no fee,2292262.99,16909,10601,176
2023-06-20 00:00:00.000,Ethereum,no fee,830616560.6,160827,46505,4989
2023-06-20 00:00:00.000,Optimism,no fee,7368354.82,44592,12874,249
2023-06-20 00:00:00.000,Polygon,no fee,46320017.8,79335,21592,825
2023-06-21 00:00:00.000,Arbitrum,no fee,406156202.48,128024,30805,603
2023-06-21 00:00:00.000,Avalanche,no fee,93.74,4,2,1
2023-06-21 00:00:00.000,BSC,no fee,3958373.54,20870,11365,193
2023-06-21 00:00:00.000,Ethereum,no fee,1336414576.59,174119,52260,5305
2023-06-21 00:00:00.000,Optimism,no fee,11610537.81,52337,13184,254
2023-06-21 00:00:00.000,Polygon,no fee,83213265.18,95983,23116,895
