DATE,DEX,NUMBER_OF_SWAPS,PCT_SHARE
2023-10-19 00:00:00.000,swapbased,1602.0,0.23056662972611217
2023-10-19 00:00:00.000,synthetix,7.0,0.0010074696679667823
2023-10-19 00:00:00.000,trader joe,12388.0,1.7829334638246426
2023-10-19 00:00:00.000,uniswap,149743.0,21.551647212907127
2023-10-19 00:00:00.000,velodrome,7288.0,1.0489198485917013
2023-10-19 00:00:00.000,voodoo,1.0,0.00014392423828096888
2023-10-19 00:00:00.000,woofi,16747.0,2.410299218491386
2023-10-19 00:00:00.000,zyberswap,965.0,0.138886889941135
2023-10-20 00:00:00.000,aerodrome,4241.0,0.5473211462641879
2023-10-20 00:00:00.000,alienbase,962.0,0.12415065850180354
2023-10-20 00:00:00.000,balancer,6389.0,0.8245307247068845
2023-10-20 00:00:00.000,baseswap,15689.0,2.0247397933833637
2023-10-20 00:00:00.000,beethoven-x,496.0,0.06401115032941221
2023-10-20 00:00:00.000,biswap,7351.0,0.948681383208688
2023-10-20 00:00:00.000,camelot,7936.0,1.0241784052705953
2023-10-20 00:00:00.000,curve,2596.0,0.33502610132087524
2023-10-20 00:00:00.000,dackieswap,1948.0,0.2513986307292238
2023-10-20 00:00:00.000,dodo,5004.0,0.6457899117910862
2023-10-20 00:00:00.000,fraxswap,414.0,0.05342866176688843
2023-10-20 00:00:00.000,gmx,1216.0,0.15693056209791384
2023-10-20 00:00:00.000,hashflow,2567.0,0.3312835139024217
2023-10-20 00:00:00.000,kyberswap,5782.0,0.7461944983964949
2023-10-20 00:00:00.000,level-finance,140.0,0.018067663399430868
2023-10-20 00:00:00.000,maverick,5832.0,0.752647235324863
2023-10-20 00:00:00.000,pancakeswap,404130.0,52.15489149722855
2023-10-20 00:00:00.000,pangolin,2025.0,0.26133584559891077
2023-10-20 00:00:00.000,quickswap,47626.0,6.146360979009247
2023-10-20 00:00:00.000,ramses-v2,3819.0,0.49286004658876065
2023-10-20 00:00:00.000,sparta,674.0,0.0869828937944029
2023-10-20 00:00:00.000,sushiswap,17035.0,2.1984474714950344
2023-10-20 00:00:00.000,swapbased,1167.0,0.15060687990811303
2023-10-20 00:00:00.000,synthetix,13.0,0.0016777116013757234
2023-10-20 00:00:00.000,trader joe,13320.0,1.71900911771728
2023-10-20 00:00:00.000,uniswap,182990.0,23.61572661044182
2023-10-20 00:00:00.000,velodrome,16342.0,2.109012537667852
2023-10-20 00:00:00.000,woofi,15500.0,2.0003484477941322
2023-10-20 00:00:00.000,zyberswap,1661.0,0.21435992076039054
2023-10-21 00:00:00.000,aerodrome,4462.0,0.6293308810773377
2023-10-21 00:00:00.000,alienbase,982.0,0.13850356907618686
2023-10-21 00:00:00.000,balancer,7133.0,1.0060549472713245
2023-10-21 00:00:00.000,baseswap,13290.0,1.874452579452671
2023-10-21 00:00:00.000,beethoven-x,493.0,0.06953386920016305
2023-10-21 00:00:00.000,biswap,8547.0,1.2054888033545508
2023-10-21 00:00:00.000,camelot,6411.0,0.9042223842641892
2023-10-21 00:00:00.000,curve,2196.0,0.3097289589524504
2023-10-21 00:00:00.000,dackieswap,1568.0,0.22115437506258756
