DATE,PLATFORM,PERIOD,VOLUME_USD,SWAPS,UNIQUE_SWAPPERS,ACTIVE_POOLS
2023-07-03 00:00:00.000,uniswap-v3,no fee,968725362.13,307675,110879,3082
2023-07-04 00:00:00.000,uniswap-v2,no fee,57230610.05,127121,35088,3663
2023-07-04 00:00:00.000,uniswap-v3,no fee,692778282.18,253072,91540,2954
2023-07-05 00:00:00.000,uniswap-v2,no fee,69934677.03,119985,32371,2673
2023-07-05 00:00:00.000,uniswap-v3,no fee,744878938.01,212527,75371,2795
2023-07-06 00:00:00.000,uniswap-v2,no fee,97776175.53,171842,42947,3486
2023-07-06 00:00:00.000,uniswap-v3,no fee,1042315211.38,273849,84123,2915
2023-07-07 00:00:00.000,uniswap-v2,no fee,100243229.21,217227,48150,3964
2023-07-07 00:00:00.000,uniswap-v3,no fee,671636184.58,229478,79965,2888
2023-07-08 00:00:00.000,uniswap-v2,no fee,66948099.07,180627,43369,4262
2023-07-08 00:00:00.000,uniswap-v3,no fee,393159711.47,204589,82368,2931
2023-07-09 00:00:00.000,uniswap-v2,no fee,62038860.62,184276,41025,4233
2023-07-09 00:00:00.000,uniswap-v3,no fee,407564477.45,197112,78634,2944
2023-07-10 00:00:00.000,uniswap-v2,no fee,63880160.64,177140,43995,4047
2023-07-10 00:00:00.000,uniswap-v3,no fee,754173417.91,258050,87253,3209
2023-07-11 00:00:00.000,uniswap-v2,no fee,51964143.24,183794,43799,4120
2023-07-11 00:00:00.000,uniswap-v3,no fee,530265867.26,217513,83183,2937
2023-07-12 00:00:00.000,uniswap-v2,no fee,60301605.85,174558,42906,3924
2023-07-12 00:00:00.000,uniswap-v3,no fee,713475977.09,230159,86279,2959
2023-07-13 00:00:00.000,uniswap-v2,no fee,75964692.56,175067,42282,3999
2023-07-13 00:00:00.000,uniswap-v3,no fee,1520064202.72,317612,94483,3288
2023-07-14 00:00:00.000,uniswap-v2,no fee,79222756.78,152496,42999,4093
2023-07-14 00:00:00.000,uniswap-v3,no fee,1424147603.01,392068,98844,3330
2023-07-15 00:00:00.000,uniswap-v2,no fee,69704616.97,155034,39936,4173
2023-07-15 00:00:00.000,uniswap-v3,no fee,538576769.15,264753,91915,3040
2023-07-16 00:00:00.000,uniswap-v2,no fee,66978544.01,185809,42259,4020
2023-07-16 00:00:00.000,uniswap-v3,no fee,477226347.8,248809,86232,3132
2023-07-17 00:00:00.000,uniswap-v2,no fee,81990851.42,185587,44763,3867
2023-07-17 00:00:00.000,uniswap-v3,no fee,979533532.13,325122,89099,3097
2023-07-18 00:00:00.000,uniswap-v2,no fee,72421170.33,160829,42919,3505
