DATE,CHAIN,PERIOD,NEW_USERS
2023-06-21 00:00:00.000,Avalanche,no fee,2
2023-06-21 00:00:00.000,BSC,no fee,6237
2023-06-21 00:00:00.000,Ethereum,no fee,7676
2023-06-21 00:00:00.000,Optimism,no fee,6270
2023-06-21 00:00:00.000,Polygon,no fee,8026
2023-06-22 00:00:00.000,Arbitrum,no fee,9672
2023-06-22 00:00:00.000,BSC,no fee,5879
2023-06-22 00:00:00.000,Ethereum,no fee,7319
2023-06-22 00:00:00.000,Optimism,no fee,6108
2023-06-22 00:00:00.000,Polygon,no fee,6775
2023-06-23 00:00:00.000,Arbitrum,no fee,8760
2023-06-23 00:00:00.000,Avalanche,no fee,1
2023-06-23 00:00:00.000,BSC,no fee,5460
2023-06-23 00:00:00.000,Ethereum,no fee,6851
2023-06-23 00:00:00.000,Optimism,no fee,6339
2023-06-23 00:00:00.000,Polygon,no fee,6355
2023-06-24 00:00:00.000,Arbitrum,no fee,8987
2023-06-24 00:00:00.000,Avalanche,no fee,3
2023-06-24 00:00:00.000,BSC,no fee,5206
2023-06-24 00:00:00.000,Ethereum,no fee,6202
2023-06-24 00:00:00.000,Optimism,no fee,5640
2023-06-24 00:00:00.000,Polygon,no fee,6279
2023-06-25 00:00:00.000,Arbitrum,no fee,8588
2023-06-25 00:00:00.000,Avalanche,no fee,1
2023-06-25 00:00:00.000,BSC,no fee,5110
2023-06-25 00:00:00.000,Ethereum,no fee,5874
2023-06-25 00:00:00.000,Optimism,no fee,6487
2023-06-25 00:00:00.000,Polygon,no fee,7428
2023-06-26 00:00:00.000,Arbitrum,no fee,9391
2023-06-26 00:00:00.000,Avalanche,no fee,3
2023-06-26 00:00:00.000,BSC,no fee,5037
2023-06-26 00:00:00.000,Ethereum,no fee,6201
2023-06-26 00:00:00.000,Optimism,no fee,5988
2023-06-26 00:00:00.000,Polygon,no fee,8355
2023-06-27 00:00:00.000,Arbitrum,no fee,11311
2023-06-27 00:00:00.000,BSC,no fee,4743
2023-06-27 00:00:00.000,Ethereum,no fee,7437
2023-06-27 00:00:00.000,Optimism,no fee,7019
2023-06-27 00:00:00.000,Polygon,no fee,10655
2023-06-28 00:00:00.000,Arbitrum,no fee,9476
2023-06-28 00:00:00.000,Avalanche,no fee,2
2023-06-28 00:00:00.000,BSC,no fee,4839
2023-06-28 00:00:00.000,Ethereum,no fee,7193
2023-06-28 00:00:00.000,Optimism,no fee,7037
2023-06-28 00:00:00.000,Polygon,no fee,7407
2023-06-29 00:00:00.000,Arbitrum,no fee,11485
2023-06-29 00:00:00.000,BSC,no fee,6572
2023-06-29 00:00:00.000,Ethereum,no fee,7729
2023-06-29 00:00:00.000,Optimism,no fee,6850
2023-06-29 00:00:00.000,Polygon,no fee,9992
2023-06-30 00:00:00.000,Arbitrum,no fee,11298
2023-06-30 00:00:00.000,BSC,no fee,6616
2023-06-30 00:00:00.000,Ethereum,no fee,7178
2023-06-30 00:00:00.000,Optimism,no fee,6836
2023-06-30 00:00:00.000,Polygon,no fee,10002
2023-07-01 00:00:00.000,Arbitrum,no fee,12034
2023-07-01 00:00:00.000,Avalanche,no fee,1
2023-07-01 00:00:00.000,BSC,no fee,4286
2023-07-01 00:00:00.000,Ethereum,no fee,8114
2023-07-01 00:00:00.000,Optimism,no fee,7830
2023-07-01 00:00:00.000,Polygon,no fee,7909
2023-07-02 00:00:00.000,Arbitrum,no fee,9807
2023-07-02 00:00:00.000,BSC,no fee,3836
2023-07-02 00:00:00.000,Ethereum,no fee,6749
2023-07-02 00:00:00.000,Optimism,no fee,9853
2023-07-02 00:00:00.000,Polygon,no fee,7949
2023-07-03 00:00:00.000,Arbitrum,no fee,9881
2023-07-03 00:00:00.000,BSC,no fee,4499
2023-07-03 00:00:00.000,Ethereum,no fee,8378
2023-07-03 00:00:00.000,Optimism,no fee,12069
2023-07-03 00:00:00.000,Polygon,no fee,8905
2023-07-04 00:00:00.000,Arbitrum,no fee,10755
2023-07-04 00:00:00.000,BSC,no fee,3925
2023-07-04 00:00:00.000,Ethereum,no fee,6912
2023-07-04 00:00:00.000,Optimism,no fee,8193
2023-07-04 00:00:00.000,Polygon,no fee,7305
2023-07-05 00:00:00.000,Arbitrum,no fee,7108
2023-07-05 00:00:00.000,Avalanche,no fee,2
2023-07-05 00:00:00.000,BSC,no fee,4081
2023-07-05 00:00:00.000,Ethereum,no fee,4931
2023-07-05 00:00:00.000,Optimism,no fee,6317
2023-07-05 00:00:00.000,Polygon,no fee,6547
2023-07-06 00:00:00.000,Arbitrum,no fee,6617
2023-07-06 00:00:00.000,Avalanche,no fee,5
2023-07-06 00:00:00.000,BSC,no fee,4911
2023-07-06 00:00:00.000,Ethereum,no fee,6713
2023-07-06 00:00:00.000,Optimism,no fee,5255
2023-07-06 00:00:00.000,Polygon,no fee,7670
2023-07-07 00:00:00.000,Arbitrum,no fee,7834
2023-07-07 00:00:00.000,BSC,no fee,4449
2023-07-07 00:00:00.000,Ethereum,no fee,7921
2023-07-07 00:00:00.000,Optimism,no fee,4949
2023-07-07 00:00:00.000,Polygon,no fee,7448
2023-07-08 00:00:00.000,Arbitrum,no fee,7178
2023-07-08 00:00:00.000,Avalanche,no fee,1
2023-07-08 00:00:00.000,BSC,no fee,4040
2023-07-08 00:00:00.000,Ethereum,no fee,8417
2023-07-08 00:00:00.000,Optimism,no fee,6004
2023-07-08 00:00:00.000,Polygon,no fee,6543
2023-07-09 00:00:00.000,Arbitrum,no fee,7327
2023-07-09 00:00:00.000,BSC,no fee,3709
2023-07-09 00:00:00.000,Ethereum,no fee,7428
2023-07-09 00:00:00.000,Optimism,no fee,6453
2023-07-09 00:00:00.000,Polygon,no fee,7693
2023-07-10 00:00:00.000,Arbitrum,no fee,8513
2023-07-10 00:00:00.000,BSC,no fee,5177
2023-07-10 00:00:00.000,Ethereum,no fee,8628
2023-07-10 00:00:00.000,Optimism,no fee,6088
